smiles,vapour,aerosol,gas
COC(=O)CCS,1.81,,
CCCCCCCC[Si](OCC)(OCC)OCC,22,,
CCN(CC)CC#N,62,,
NN,570,,
CN(C)CCN(C)CCN(C)C,290,,
CN(C)CCOCCN(C)C,2.204,,
C=CC1CC2CC1C=C2,2374.5,,
FC(F)(F)C(Cl)Cl,28000,,
CC(=C)C(=O)OCCN=C=O,8.794,,
[Al+3].CCCC[O-].CCCC[O-].CCCC[O-],24.3,,
CC(O)SC=C,1.14,,
COCCOC(=O)C=C,2.7,,
CN(C)CCCO,0.09,,
Nc1ccccc1.ClC(Cl)=O.C=O,0.4635,,
CC1OC1C,5.2,,
C[Si](C)O[Si](C)C,5.8,,
FC(F)(F)c1cccc(c1)N=C=O,0.087,,
CC(C)COC(C)(C)C,68.26666667,,
Clc1ccccc1N=C=O,0.047,,
C[Si](Cl)(Cl)CC[Si](C)(Cl)Cl,1257,,
CCC(C)(C)OO,2.425,,
OCCN1CCCC1=O,0.008,,
CCCCN1CCCC1=O,5.1,,
FC(F)(F)Oc1ccc(cc1)N=C=O,0.0225,,
CC(=C)C(=O)OCC(F)(F)F,4.945,,
CCC(C)NCCO,0.76,,
CC(CC(Cl)=O)CC(C)(C)C,0.24,,
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,630.5,,
CCCCCCCCCCCCCCCCCCO[P@]1OC[C@]2(CO1)CO[P@@](OCCCCCCCCCCCCCCCCCC)OC2,2,,
C=COCCCCOC=C,6.3,,
CC(C)(C)CCCCCC(Cl)=O,0.4,,
CC(CC#N)N1CC1,0.54,,
CCN(CC)CC#C,2.1,,
Cl[SiH2]Cl,314,,
C\C=C/C=O,928,,
OCC(F)(F)C(F)(F)F,23.94,,
COC1CCC=CO1,6.1,,
C1CC2CC1C3CC=CC23,212.9076667,,
CC(CCC#N)C#N,0.66,,
Fc1ccc(cc1)C(=O)CCl,0.043,,
Fc1ccc(Br)cc1,18,,
CCOCOCC,6643,,
ClCCCC(Cl)=O,0.65,,
COC(OC)[NH+](C)C,12.16,,
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,0.5,,
CC1=CC(C)(C)CC(=O)C1,7,,
CNC(C)C,8.53,,
C=O,463,,
C1CCOCOC1,20.8,,
CC1(C)C2CCC1(C)C(O)C2,0.5,,
CC(C)(C)CCCCCC(=O)OC=C,2.6,,
Fc1ccc(c(F)c1)C(=O)CCl,0.043,,
