smiles,vapour,aerosol,gas
[Na+].[Na+].[Na+].[Na+].CC(O)CN(CC(C)O)c1nc(Nc2ccc(cc2)[S]([O-])(=O)=O)nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccc(cc6)[S]([O-])(=O)=O)nc(n5)N(CC(C)O)CC(C)O)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n1,,1.8575,
[Ba++].CCc1cc(N\N=C/2C(=O)C=Cc3ccccc23)c(cc1Cl)[S]([O-])(=O)=O.CCc4cc(N\N=C/5C(=O)C=Cc6ccccc56)c(cc4Cl)[S]([O-])(=O)=O,,5.24,
OC(=O)CS,,1.487666667,
CCCCCCCCC=C,,4.8,
CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(O)=O,,1.1,
[Cl-].CN(N=CC1=[N+](C)c2ccccc2C1(C)C)c3ccc(C)cc3,,0.382,
Cc1ccc(cc1N\N=C2\C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(C)c(NC(=O)C5=Cc6ccccc6C(=N/Nc7c(C)cccc7C(=O)OCCCl)/C5=O)cc4C)C(=O)OCCCl,,1.7,
[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,,0.25,
[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,,0.25,
OCC#CCO.ClCC1CO1,,5.47,
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.OCC(CO)(CO)CO,,4.06,
CCCCC(CC)C(=O)OCC(COCC(COC(=O)CCCCCC(C)C)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC)(COC(=O)CCCCCC(C)C)COC(=O)CCCCCC(C)C,,5.1,
COC(=O)c1ccc(C(=O)OC)c(c1)N=NC(C(C)=O)C(=O)Nc2ccc(NC(=O)C(N=Nc3cc(ccc3C(=O)OC)C(=O)OC)C(C)=O)cc2,,1.7,
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CC(O)CO,,101.458,
CC1CC(CCC1N)CC2CCC(N)C(C)C2,,0.42,
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C.NCCO,,4.9,
CC(O)CO.CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(=O)C=C.ClCC3CO3.O=C4CCC(=O)O4,,4.9,
CCOC(=O)CCCCCCCCC=C,,5.15,
CC(C)C1CCCCC1,,5.04,
Cc1cc(O)c(C)c(C)c1O,,1.466666667,
CC1(C)CC(=O)CC(C)(C1)C#N,,1.313333333,
CC(C)(C)c1cc(CCC(=O)OCCNC(=O)C(=O)NCCOC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,,5.01,
[Na+].[Na+].[Na+].CN(c1ccc2c(c1)C=C(/C(=N/Nc3ccc4c(cccc4[S]([O-])(=O)=O)c3[S]([O-])(=O)=O)C2=O)[S]([O-])(=O)=O)c5nc(N)nc(Cl)n5,,5,
CCCCCCCCC(O)=O.CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)CO,,4.06,
[Na+].[Cr+3].[O-]c1cc(c2ccccc2c1N=Nc3ccc4cccc(c4c3[O-])[S]([O-])(=O)=O)[S]([O-])(=O)=O,,2.8,
CC(C)(C)c1ccc2oc(nc2c1)c3sc(cc3)c4oc5ccc(cc5n4)C(C)(C)C,,1.82,
[Na+].CC(O)C([O-])=O,,7.94,
CC(C)C(N)C(O)=O,,5.26,
CC1=CC2=NC(=O)N=C2C=C1NNC3C(=O)NC(=O)NC3=O,,2.119,
[Na+].[Na+].Cc1c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)cc(cc1Nc5nc(F)nc(F)c5Cl)[S]([O-])(=O)=O,,5.093,
[Na+].[Na+].[Na+].CCN(c1ccccc1)c2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccccc5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2,,1.5,
NC(Cc1c[nH]c2ccccc12)C(O)=O,,5.17,
CC[C@H](C)[C@H](N)C(O)=O,,5.41,
NCCCOCCCCOCCCN,,1.5,
[K+].[K+].[K+].[K+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,,1.1,
CCN(CC)c1ccc2nc3ccc(cc3[o+]c2c1)N(CC)CC.[O-][N+]([O-])=O,,0.51,
CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,,1.86,
[Al+3].[O-]C=O.[O-]C=O.[O-]C=O,,2.51,
BrCBr,,0.0223,
[Al],,0.888,
[Mn],,5.14,
[Mo],,5.1,
[Nb],,5.45,
[Ta],,5.18,
[Sn],,4.75,
[W],,5.4,
[Sb]#[Sb],,5.2,
[B],,5.08,
[Ge],,5.34,
[Zn],,5.41,
[Li+].[Cl-],,5.57,
CCOC(=O)C(C)CC,,5.967,
[Sn++].[O-][S]([O-])(=O)=O,,2,
CC(C)(C)OO,,1.85,
CC(C)(C)C(O)=O,,5.3,
[Li+].[Br-],,15.57,
II,,4.588,
[Na+].[Na+].O[P]([O-])([O-])=O,,0.83,
CO[P](C)(=O)OC,,2.589,
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,,3.363,
OCC1OC2OC3C(O)C(O)C(OC3CO)OC4C(O)C(O)C(OC4CO)OC5C(O)C(O)C(OC5CO)OC6C(O)C(O)C(OC6CO)OC7C(O)C(O)C(OC7CO)OC8C(O)C(O)C(OC8CO)OC1C(O)C2O,,4.9,
[Ba++].Cc1cc(c(N\N=C/2C(=O)C(=Cc3ccccc23)C([O-])=O)cc1Cl)[S]([O-])(=O)=O,,4.76,
CN1C(=C(NC=O)C(=O)N(C)C1=O)N,,5.4,
CC1(C)C2CCC1(C)C(=O)C2,,10,
CCCCC(CC)C(Cl)=O,,1.243333333,
CC(=C)C(=O)OC(=O)C(C)=C,,2.081,
[Na+].[Na+].[Na+].[O-][P]([O-])([O-])=O,,0.83,
CNC(=O)/C(C#N)=C/1NC(c2ccccc12)=C3C(=O)NC(=O)NC3=O,,5.42,
O=[Si]=O,,5.01,
[Na+].[Na+].[O-][Mo]([O-])(=O)=O,,5.1,
O[S](O)(=O)=O,,0.375,
O[N+]([O-])=O,,2.65,
Cc1cc(Cc2cc(C)cc(c2O)C3(C)CCCCC3)c(O)c(c1)C4(C)CCCCC4,,3.18,
CC(O)COc1ccccc1,,5.4,
[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,,0.58,
[NH4+].[NH4+].[O-][S](=O)(=O)OO[S]([O-])(=O)=O,,2.95,
CCC12COCN1COC2,,3.1,
[K+].[O-][N+]([O-])=O,,0.527,
O.O.O.O.O.O.O.[Na+].[Na+].[O-][S]([O-])=O,,9.625,
[Mg++].O[P]([O-])([O-])=O,,2.6,
[Mg++].[Mg++].[Mg++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,,2.6,
[Ca++].O[P]([O-])([O-])=O,,2.6,
[K+].[K+].O[P]([O-])([O-])=O,,0.83,
[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,,0.58,
[Ca++].O[P](O)([O-])=O.O[P](O)([O-])=O,,2.6,
[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,,2.6,
[Ag+].[O-][N+]([O-])=O,,0.00075,
O.O.O.O.[Cl-].[Cl-].[Mn++],,4.45,
[Na+].[O-]B=O,,2.04,
[Na+].[Na+].[O-][S](=O)(=O)OO[S]([O-])(=O)=O,,5.1,
[Ca++].[O-][S]([O-])(=O)=O,,3.26,
O[As](O)(O)=O,,0.995666667,
[K+].[K+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O,,0.092,
[K+].[K+].[K+].[O-][P]([O-])([O-])=O,,0.83,
O[Mo](O)(=O)=O,,3.92,
[NH4+].[NH4+].O[P]([O-])([O-])=O,,5,
[F-].[F-].[Sr++],,4.5,
[F-].[F-].[Zn++],,1.975,
[F-].[F-].[F-].[Al+3],,0.53,
[Al+3].[O-][P]([O-])([O-])=O,,5.1,
[Mn++].[O-][S]([O-])(=O)=O,,4.45,
[Ni++].[O-][S]([O-])(=O)=O,,2.48,
[F-].[F-].[Ba++],,1,
[Sr++].[O-][Cr]([O-])(=O)=O,,0.27,
[Li+].[F-],,15.57,
[F-].[F-].[Ca++],,5.07,
[Ca++].[O-][Mo]([O-])(=O)=O,,5.1,
[Li+].[O-][N+]([O-])=O,,5.93,
CCO[Si](OCC)(OCC)OCC,,13.4,
CCO[P](=O)(OCC)OCC,,8.817,
CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,,6.4,
CC(O)CN,,3.46,
CC(=O)C=O,,13.6,
N.O[V](=O)=O,,2.516666667,
[H+].[H+].[Mg++].[O-]OC(=O)c1ccccc1C([O-])=O.[O-]OC(=O)c2ccccc2C([O-])=O,,1.72,
OC(=O)CCl,,1.268,
OCC(O)=O,,4.4,
CC(=O)OO,,1.17075,
C[C@H](O)C(O)=O,,7.94,
CC(=O)C(N=Nc1cc(ccc1Cl)C(=O)Nc2cc(ccc2Oc3ccc(Cl)cc3)C(F)(F)F)C(=O)Nc4cc(Cl)c(NC(=O)C(N=Nc5cc(ccc5Cl)C(=O)Nc6cc(ccc6Oc7ccc(Cl)cc7)C(F)(F)F)C(C)=O)cc4C,,1.7,
CCCC(C)C1OCC(C)(CCC)CO1,,0.75,
CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,,2.99,
O=C1NC(=O)c2ccc3c4ccc5C(=O)NC(=O)c6ccc(c7ccc1c2c37)c4c56,,0.41,
O=C1c2ccccc2C(=O)c3c4Nc5ccc6C(=O)c7ccccc7C(=O)c6c5Nc4ccc13,,5.5,
[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,,7.94,
CCNc1nc(NC(C)C)nc(SC)n1,,2.22,
[Li+].[Na+].[Na+].[O-][S](=O)(=O)c1ccc(NC(=O)c2ccccc2)c3C(=O)C(=N/Nc4ccc5c(CNc6nc(F)nc(F)c6Cl)cccc5c4[S]([O-])(=O)=O)/C(=Cc13)[S]([O-])(=O)=O,,1.933,
COC(=O)c1ccc2cc(ccc2c1)C(=O)OC,,2.15,
Clc1ccc(cc1)C2=C3C(=O)NC(=C3C(=O)N2)c4ccc(Cl)cc4,,2.25,
O=C1OC(=O)c2ccccc12,,2.14,
[Na+].[Na+].Cc1ccc(cc1[S]([O-])(=O)=O)[S](=O)(=O)c2cc(NC(=O)C(Br)=C)ccc2N=Nc3c(N)ccc4cc(ccc34)[S]([O-])(=O)=O,,0.42,
[K+].C[C@H](O)C([O-])=O,,7.94,
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,,5.25,
CN1CCCC1=O,,5.1,
O=Cc1ccncc1,,5.14,
CC1CC(=O)CC(C)(C)C1,,14.2,
C=CN1CCCC1=O,,3.086666667,
ClC(Cl)c1ccccc1Cl,,7.3,
NC(=O)c1ccccc1N,,5.4,
Nc1ccccc1[N+]([O-])=O,,2.529,
OC(=O)c1ccccc1C(O)=O,,5.058,
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,,5.289,
COc1ccccc1N,,3.87,
CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,,5,
Oc1ccccc1c2ccccc2,,0.949,
CN[C@@H](C)[C@@H](O)c1ccccc1,,2,
CC(C)=O.C=O.N(c1ccccc1)c2ccccc2,,5,
CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,,5.1,
CCOC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(Cl)cc(OC)n2,,5.18,
C1Cc2ccccc2CN1,,1.927333333,
CCOc1ccc2NC(C)(C)C=C(C)c2c1,,1.97,
Nc1nc(N)nc(n1)c2ccccc2,,2.932,
Cc1cc(ccc1N=C=O)c2ccc(N=C=O)c(C)c2,,1.59,
[Na+].CC(O)[S]([O-])(=O)=O,,5.8,
CC(C)(C)OOC(=O)C(C)(C)C,,7.053333333,
CCCC[NH+](C)C,,2,
COc1ccc(CC=C)cc1OC,,4.8,
COc1ccc(CC#N)cc1OC,,5.5,
OCC1COC(=O)O1,,5.6,
CCCCCCCCCCOC(=O)C(CC)CCCC,,10.55,
CC(/CCc1ccccc1)=C\C#N,,5.31,
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,,2,
O=C1C=CC(=O)N1c2ccccc2,,0.034,
[Ti+4].CCCCC(CC)C[O-].CCCCC(CC)C[O-].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,,0.89,
CCCCN[P](N)(N)=S,,2.166666667,
OC1(CCCCC1)C(=O)c2ccccc2,,1,
s1cnc2ccccc12,,5,
Nc1ccc(Cl)c(Cl)c1,,0.631,
OCC(=O)CO,,5,
OCC(O)CS,,1.275,
O=C1CCCO1,,5.1,
O=Cc1occc1,,0.54,
FC(F)(F)c1cccc(Cl)c1,,0.0236,
FC(F)(F)c1ccc(Cl)cc1,,32.03,
CC1COc2ccccc2N1C(=O)C(Cl)Cl,,2,
Cc1ccc(cc1)[N+]([O-])=O,,0.851,
CCCCCCCCSc1nc(Nc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)nc(SCCCCCCCC)n1,,1,
CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,,0.935,
[N-]=[N+]=O,,,500000
C=CC=O,,,16.75
COC,,,164000
FC(F)=C(F)F,,,28500
FC(F)=C(F)C(F)(F)F,,,3060
FC(F)=C(F)OC(F)(F)F,,,10000
CN(C)[S](Cl)(=O)=O,,,1.094333333
Oc1ccccc1C(=O)OC2CCCCC2,,,0.3
FC(F)(F)C(Cl)=O,,,78
FC(C(F)(F)F)C(F)(F)F,,,788696
FC(F)CC(F)(F)F,,,116000
CC[Si](CC)CC,,,1774
CCOCC1CCCO1,,,13.7
[C-]#[O+],,,1300
CCl,,,21.8
CN,,,2.1
CS,,,675
CCCl,,,19000
CCN,,,10.16666667
C1CO1,,,1500
ClC(Cl)=O,,,0.086925
FC(F)F,,,663000
FC(F)(F)F,,,50000
FC(F)(F)C(F)(F)F,,,500000
FF,,,185
ClCl,,,2.263
S,,,474.3333333
FN(F)F,,,5312.5
P,,,42.85
C[Si](C)C,,,1774
